Id,Sales
1,5127.95
2,8381.16
3,10160.3
4,6764.22
5,7396.95
6,6143.74
7,8959.34
8,8904.48
9,6156.42
10,6513.32
11,7626.35
12,8985.08
13,7778.11
14,8781.79
15,6632.93
16,5305.24
17,6567.97
18,11099.9
19,12803.4
20,11478.1
21,8706.63
22,6058.18
23,6379.62
24,5060.59
25,9259.04
26,11857.8
27,9782.79
28,7041.17
29,6081.34
30,5195.54
31,5991.26
32,11785.0
33,8171.47
34,5885.21
35,6421.69
36,8161.73
37,4383.59
38,8148.56
39,4943.07
40,7239.59
41,8370.85
42,6046.4
43,7962.86
44,7627.93
45,5153.47
46,7749.29
47,7693.21
48,11806.6
49,6586.29
50,9413.69
51,7580.81
52,10576.3
53,7590.81
54,10816.5
55,5722.67
56,5350.5
57,7319.17
58,6355.61
59,10154.0
60,8758.66
61,6534.07
62,8390.16
63,7199.92
64,10999.0
65,4414.9
66,14808.4
67,5586.68
68,6757.83
69,9589.41
70,6363.65
71,7062.48
72,7385.65
73,8494.9
74,5768.54
75,5914.64
76,8521.19
77,8189.48
78,8492.14
79,5257.8
80,7846.31
81,12089.6
82,7213.04
83,5019.05
84,7710.04
85,6433.38
86,7495.64
87,7755.85
88,4560.33
89,8961.98
90,6867.93
91,8289.11
92,7354.45
93,5090.96
94,7704.14
95,6118.85
96,8472.48
97,10448.5
98,5604.84
99,5950.23
100,7146.73
101,6533.32
102,6644.49
103,9290.01
104,7693.59
105,8390.73
106,6481.0
107,5188.36
108,7433.02
109,8559.1
110,9566.93
111,9117.69
112,9242.07
113,6586.01
114,9496.28
115,6845.39
116,9009.49
117,10040.9
118,7791.56
119,11322.6
120,8442.26
121,9202.48
122,6599.15
123,8003.02
124,9075.64
125,7755.53
126,4569.74
127,6396.58
128,9099.78
129,8034.05
130,5835.66
131,10289.6
132,7337.64
133,6363.71
134,6291.62
135,6559.09
136,8497.2
137,7968.82
138,8105.6
139,6007.03
140,5741.13
141,7689.19
142,4390.12
143,7200.22
144,5958.28
145,9943.35
146,8207.09
147,7047.07
148,9982.5
149,6440.15
150,5215.49
151,12051.1
152,7799.77
153,9165.88
154,8545.87
155,5724.71
156,6729.58
157,6247.02
158,8545.95
159,13318.4
160,6645.56
161,3684.55
162,5405.71
163,9433.58
164,10438.9
165,7341.21
166,8407.57
167,5086.46
168,6070.64
169,3659.98
170,5776.06
171,6450.83
172,7445.36
173,8275.52
174,7095.7
175,8602.6
176,9920.7
177,8297.76
178,5435.79
179,10521.8
180,13403.9
181,7340.33
182,8886.15
183,5690.78
184,7329.61
185,5042.01
186,8557.27
187,6416.88
188,9623.17
189,7881.22
190,10000.8
191,9170.69
192,5890.13
193,10123.7
194,20729.0
195,12583.1
196,7231.34
197,3328.57
198,6977.3
199,11348.4
200,6414.0
201,11738.5
202,19927.0
203,3810.65
204,6215.39
205,9442.54
206,5854.25
207,11418.5
208,7861.38
209,8450.76
210,3664.63
211,8236.21
212,7377.75
213,8162.77
214,10800.9
215,6748.59
216,6273.88
217,7837.35
218,6181.0
219,5322.16
220,8537.28
221,6729.52
222,7147.32
223,8619.32
224,6886.21
225,6001.52
226,8206.75
227,8376.89
228,9367.3
229,6562.9
230,7673.7
231,6087.37
232,4169.98
233,7250.02
234,8120.66
235,6008.45
236,5143.99
237,10957.2
238,8402.67
239,10417.1
240,7523.86
241,6633.47
242,6227.73
243,4849.2
244,11439.2
245,5723.68
246,8634.8
247,16576.3
248,8141.05
249,7535.48
250,5371.61
251,5182.01
252,8417.18
253,4567.03
254,7202.99
255,10945.6
256,6091.88
257,17712.7
258,16152.9
259,5363.45
260,8449.11
261,5622.01
262,7521.93
263,6295.1
264,12147.6
265,8447.97
266,10183.3
267,5284.87
268,7730.4
269,5077.12
270,9479.55
271,8019.61
272,7042.6
273,7164.08
274,5602.76
275,9505.88
276,10275.9
277,6040.19
278,11947.7
279,7302.01
280,10552.0
281,5112.73
282,6096.19
283,6202.05
284,11844.3
285,7380.63
286,8693.9
287,7936.81
288,10057.6
289,4901.2
290,8828.04
291,6997.75
292,4586.16
293,16413.4
294,18612.4
295,8546.72
296,9478.09
297,11058.4
298,11964.9
299,11797.8
300,7120.97
301,8970.77
302,6745.9
303,9350.92
304,4589.46
305,6648.88
306,6253.11
307,6375.12
308,8683.98
309,5690.46
310,5741.53
311,6784.48
312,4399.27
313,5385.52
314,6210.18
315,7809.59
316,10461.9
317,9423.49
318,8194.55
319,6779.62
320,6797.82
321,12245.7
322,9048.22
323,6615.95
324,5043.54
325,9519.41
326,4846.58
327,7709.38
328,3707.54
329,6056.84
330,9288.74
331,7019.01
332,6015.18
333,9499.89
334,10530.1
335,12454.0
336,6589.03
337,10479.5
338,3885.87
339,6038.99
340,6984.47
341,5033.26
342,8687.8
343,6178.87
344,5680.08
345,10089.8
346,13078.4
347,9483.6
348,6060.28
349,6211.32
350,8786.9
351,7474.81
352,7266.42
353,5652.47
354,8004.07
355,11070.3
356,5262.71
357,7316.8
358,8956.48
359,9561.09
360,14688.1
361,6696.69
362,14427.2
363,7895.85
364,5674.24
365,4256.09
366,7213.39
367,7071.05
368,5963.08
369,7849.81
370,5332.22
371,5239.06
372,7754.83
373,4097.21
374,8529.93
375,7644.04
376,8991.43
377,9662.44
378,6218.43
379,10292.5
380,7209.11
381,5653.24
382,5621.76
383,6172.34
384,12206.6
385,7305.2
386,5612.69
387,9184.24
388,9774.18
389,8019.77
390,7423.99
391,9680.07
392,6007.49
393,5628.49
394,6792.94
395,9639.65
396,7087.92
397,7192.67
398,6910.95
399,5791.37
400,4377.07
401,5891.94
402,9165.22
403,9417.65
404,11733.2
405,12827.3
406,8808.33
407,4688.81
408,5327.58
409,11784.2
410,11221.2
411,8983.88
412,9705.62
413,9924.34
414,6366.17
415,4638.99
416,11834.3
417,6800.97
418,7823.84
419,7191.08
420,3734.16
421,12813.7
422,6289.61
423,5952.11
424,5017.68
425,6383.74
426,7419.79
427,10192.0
428,7065.17
429,4822.18
430,5851.13
431,5096.09
432,3654.07
433,8058.85
434,19663.3
435,6118.22
436,6086.59
437,7943.68
438,5707.25
439,6409.41
